



output: txt
equal:  abs(1_leppt-2_leppt)<0.02
LF:     data/LF_cem_data_2jME.txt_JEToutput_test.txt data/LF_cem_data_3jME.txt_JEToutput.txt data/LF_cmup_data_2jME.txt_JEToutput_test.txt data/LF_cmup_data_3jME.txt_JEToutput.txt data/LF_cmx_data_2jME.txt_JEToutput_test.txt data/LF_cmx_data_3jME.txt_JEToutput.txt data/LF_phx_data_2jME.txt_JEToutput_test.txt data/LF_phx_data_3jME.txt_JEToutput.txt
ME:     data/ME_2jet.txt data/ME_2jetnewMuons.txt data/ME_3jet.txt data/ME_3jetnewMuons.txt
NN:     data/NN_2jet1tag.txt data/NN_2jet2tag.txt data/NN_3jet1tag.txt data/NN_3jet2tag.txt
ME loaded:    2249
NN loaded:    1980
NN used:      1980 (100.0%)
NN rematched: 0
LF: Found key but didn't find particle run: 219385, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 34.167263, lf: 0.492048
LF: Found key but didn't find particle run: 221604, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 21.805907, lf: 0.005454
LF: Found key but didn't find particle run: 221904, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 57.428449, lf: 0.020985
LF: Found key but didn't find particle run: 221723, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 52.553143, lf: 0.065026
LF: Found key but didn't find particle run: 218653, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 51.284097, lf: 0.020444
LF: Found key but didn't find particle run: 219471, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 65.256189, lf: 0.000771
LF: Found key but didn't find particle run: 219519, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 27.266142, lf: 0.344945
LF: Found key but didn't find particle run: 221723, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 35.975141, lf: 0.019399
LF: Found key but didn't find particle run: 221723, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 57.308472, lf: 0.109088
LF: Found key but didn't find particle run: 221804, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 24.362827, lf: 0.838437
LF: Found key but didn't find particle run: 222271, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 26.005612, lf: 0.016907
LF: Found key but didn't find particle run: 222271, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 41.480758, lf: 0.783645
LF: Found key but didn't find particle run: 218692, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 22.148743, lf: 0.012340
